"shotn,",ts_time 1,delay 1,amp1,period,ts_time 2,delay 2,amp,period,R_inv
,,,,,,,,ms,
40428,176.6,0.3055,0.131642,1.899,179.6,-0.1305,0.102587,1.703,496.417447728911
40458,170.5,-0.2395,0.067142,2.023,173.5,0.3005,0.104206,2.493,493.76740881099
40522,161.4,0.2585,0.089806,1.831,164.4,-0.2785,0.095344,1.8,510.098648648649
41025,197.8,-0.2075,0.134539,2.939,200.8,0.1555,0.134028,2.671,508.309803921569
41092,185.7,-0.2805,0.204237,2.427,188.7,0.2615,0.195972,2.493,528.662420382166
41105,197.8,0.2695,0.215398,3.78,200.8,-0.1465,0.204663,3.45,507.10888252149
41114,216,0.2925,0.252889,3.81,219,-0.1245,0.22639,3.45,512.398381722989
41114,231.2,0.1005,0.279047,4.41,234.2,-0.2255,0.137521,3.36,513.069792802617
42145,194.5,-0.2355,0.066716,2.313,197.6,0.3355,0.328806,2.556,517.695853658537
42146,191.4,0.1415,0.343376,3.69,194.5,-0.1515,0.286289,3.42,531.792357320099
42154,197.6,-0.2535,0.075662,2.673,200.7,0.1065,0.084609,2.767,514.062754786906
42354,213.2,0.1615,0.419891,3.389,216.4,-0.1325,0.436676,3.421,521.948688046647
42359,207,0.1475,0.514042,4.259,210.1,-0.1765,0.457381,3.451,508.340050377834
42379,175.7,-0.2205,0.120054,2.732,178.9,0.2395,0.145871,2.667,516.314872433105
42380,169.5,-0.2935,0.119031,2.7,172.6,0.1065,0.106932,2.727,524.149642160052
42505,213.3,0.3135,0.085546,1.89,216.4,-0.1585,0.107529,1.801,502
42572,210.1,0.1765,0.080434,1.531,213.2,-0.2845,0.098412,1.939,508.926829268293
42664,194.5,-0.2765,0.120906,2.516,197.6,0.1475,0.151665,2.703,509.895068205666
42669,185.1,-0.3295,0.17433,3.424,188.2,0.1565,0.056576,2.641,497.702506063056
42678,191.4,0.3435,0.07464,1.535,194.5,-0.2195,0.123888,2.251,528.914703493095
42696,169.5,0.1125,0.142378,1.743,172.6,-0.1205,0.148257,1.803,500.111475409836
43039,164.2,-0.2775,0.09969,2.503,167.3,0.2935,0.103269,2.459,496.312840466926
43041,188.5,-0.3125,0.130705,2.491,191.5,0.1065,0.140077,2.611,500.595185995624
43043,164.2,-0.1505,0.132153,2.943,167.3,0.1655,0.119628,2.714,493.438877755511
43043,224.8,0.1375,0.285778,3.48,227.9,-0.1765,0.281773,3.344,499.227138643068
43048,221.8,-0.2165,0.278024,2.61,224.8,0.1745,0.297792,2.639,500.403204272363
43054,206.7,-0.3265,0.069272,2.42,209.7,0.2025,0.060155,2.501,498.187550525465
43296,158.2,0.3025,0.059558,1.265,161.2,-0.2205,0.119628,1.925,506.709433962264
43305,164.2,0.2605,0.070039,1.436,167.3,-0.1225,0.092192,1.891,507.913725490196
