# Jaccard Index Curves for Each Sawtooth Event
# shot_number,time_before,radius,jaccard_index
42145,194.50,40.300,0.000000
42145,194.50,40.394,0.000000
42145,194.50,40.489,0.000000
42145,194.50,40.584,0.000000
42145,194.50,40.678,0.000000
42145,194.50,40.772,0.000000
42145,194.50,40.867,0.000000
42145,194.50,40.962,0.000000
42145,194.50,41.056,0.000000
42145,194.50,41.150,0.000000
42145,194.50,41.245,0.000000
42145,194.50,41.340,0.000000
42145,194.50,41.434,0.000000
42145,194.50,41.528,0.000000
42145,194.50,41.623,0.000000
42145,194.50,41.718,0.000000
42145,194.50,41.812,0.000000
42145,194.50,41.906,0.000000
42145,194.50,42.001,0.000000
42145,194.50,42.096,0.000000
42145,194.50,42.190,0.000000
42145,194.50,42.284,0.000000
42145,194.50,42.379,0.000000
42145,194.50,42.474,0.000000
42145,194.50,42.568,0.000000
42145,194.50,42.662,0.000000
42145,194.50,42.757,0.000000
42145,194.50,42.852,0.000000
42145,194.50,42.946,0.000000
42145,194.50,43.040,0.000000
42145,194.50,43.135,0.000000
42145,194.50,43.230,0.000000
42145,194.50,43.324,0.000000
42145,194.50,43.418,0.000000
42145,194.50,43.513,0.000000
42145,194.50,43.608,0.000000
42145,194.50,43.702,0.000000
42145,194.50,43.796,0.000000
42145,194.50,43.891,0.000000
42145,194.50,43.986,0.000000
42145,194.50,44.080,0.000000
42145,194.50,44.174,0.000000
42145,194.50,44.269,0.007335
42145,194.50,44.364,0.016658
42145,194.50,44.458,0.025801
42145,194.50,44.552,0.034691
42145,194.50,44.647,0.043275
42145,194.50,44.742,0.051519
42145,194.50,44.836,0.059386
42145,194.50,44.930,0.066838
42145,194.50,45.025,0.073833
42145,194.50,45.120,0.080329
42145,194.50,45.214,0.086282
42145,194.50,45.308,0.091647
42145,194.50,45.403,0.096378
42145,194.50,45.498,0.100429
42145,194.50,45.592,0.103754
42145,194.50,45.686,0.106310
42145,194.50,45.781,0.108055
42145,194.50,45.876,0.108948
42145,194.50,45.970,0.108953
42145,194.50,46.064,0.108039
42145,194.50,46.159,0.106178
42145,194.50,46.254,0.103350
42145,194.50,46.348,0.099540
42145,194.50,46.442,0.094740
42145,194.50,46.537,0.088950
42145,194.50,46.632,0.082181
42145,194.50,46.726,0.074504
42145,194.50,46.820,0.066078
42145,194.50,46.915,0.057067
42145,194.50,47.010,0.047627
42145,194.50,47.104,0.037906
42145,194.50,47.198,0.028042
42145,194.50,47.293,0.018165
42145,194.50,47.388,0.008393
42145,194.50,47.482,0.000000
42145,194.50,47.576,0.000000
42145,194.50,47.671,0.000000
42145,194.50,47.766,0.000000
42145,194.50,47.860,0.000000
42145,194.50,47.954,0.000000
42145,194.50,48.049,0.000000
42145,194.50,48.144,0.000000
42145,194.50,48.238,0.000000
42145,194.50,48.332,0.000000
42145,194.50,48.427,0.000000
42145,194.50,48.522,0.000000
42145,194.50,48.616,0.000000
42145,194.50,48.710,0.000000
42145,194.50,48.805,0.000000
42145,194.50,48.900,0.000000
42145,194.50,48.994,0.000000
42145,194.50,49.088,0.000000
42145,194.50,49.183,0.000000
42145,194.50,49.278,0.000000
42145,194.50,49.372,0.000000
42145,194.50,49.466,0.000000
42145,194.50,49.561,0.000000
42145,194.50,49.656,0.011721
42145,194.50,49.750,0.027372
42145,194.50,49.844,0.044327
42145,194.50,49.939,0.062564
42145,194.50,50.034,0.082051
42145,194.50,50.128,0.102747
42145,194.50,50.222,0.124594
42145,194.50,50.317,0.147514
42145,194.50,50.412,0.171406
42145,194.50,50.506,0.196139
42145,194.50,50.600,0.221544
42145,194.50,50.695,0.247413
42145,194.50,50.790,0.273487
42145,194.50,50.884,0.299457
42145,194.50,50.978,0.324953
42145,194.50,51.073,0.349546
42145,194.50,51.168,0.372745
42145,194.50,51.262,0.394026
42145,194.50,51.356,0.413121
42145,194.50,51.451,0.429972
42145,194.50,51.546,0.444563
42145,194.50,51.640,0.456914
42145,194.50,51.734,0.467083
42145,194.50,51.829,0.475162
42145,194.50,51.924,0.481275
42145,194.50,52.018,0.485574
42145,194.50,52.112,0.488238
42145,194.50,52.207,0.489463
42145,194.50,52.302,0.489466
42145,194.50,52.396,0.488476
42145,194.50,52.490,0.486733
42145,194.50,52.585,0.484486
42145,194.50,52.680,0.481989
42145,194.50,52.774,0.479506
42145,194.50,52.868,0.477305
42145,194.50,52.963,0.475664
42145,194.50,53.058,0.474872
42145,194.50,53.152,0.475234
42145,194.50,53.246,0.477075
42145,194.50,53.341,0.480752
42145,194.50,53.436,0.486661
42145,194.50,53.530,0.495252
42145,194.50,53.624,0.507050
42145,194.50,53.719,0.522517
42145,194.50,53.814,0.541899
42145,194.50,53.908,0.565484
42145,194.50,54.002,0.593641
42145,194.50,54.097,0.626838
42145,194.50,54.192,0.665662
42145,194.50,54.286,0.710848
42145,194.50,54.380,0.763316
42145,194.50,54.475,0.824226
42145,194.50,54.570,0.895049
42145,194.50,54.664,0.977671
42145,194.50,54.758,0.930628
42145,194.50,54.853,0.841116
42145,194.50,54.948,0.754676
42145,194.50,55.042,0.671577
42145,194.50,55.136,0.592000
42145,194.50,55.231,0.516054
42145,194.50,55.326,0.443788
42145,194.50,55.420,0.375205
42145,194.50,55.514,0.310268
42145,194.50,55.609,0.248915
42145,194.50,55.704,0.191062
42145,194.50,55.798,0.136610
42145,194.50,55.892,0.085452
42145,194.50,55.987,0.037477
42145,194.50,56.082,0.000000
42145,194.50,56.176,0.000000
42145,194.50,56.270,0.000000
42145,194.50,56.365,0.000000
42145,194.50,56.460,0.000000
42145,194.50,56.554,0.000000
42145,194.50,56.648,0.000000
42145,194.50,56.743,0.000000
42145,194.50,56.838,0.000000
42145,194.50,56.932,0.000000
42145,194.50,57.026,0.000000
42145,194.50,57.121,0.000000
42145,194.50,57.216,0.000000
42145,194.50,57.310,0.000000
42145,194.50,57.404,0.000000
42145,194.50,57.499,0.000000
42145,194.50,57.594,0.000000
42145,194.50,57.688,0.000000
42145,194.50,57.782,0.000000
42145,194.50,57.877,0.000000
42145,194.50,57.972,0.000000
42145,194.50,58.066,0.000000
42145,194.50,58.160,0.000000
42145,194.50,58.255,0.000000
42145,194.50,58.350,0.000000
42145,194.50,58.444,0.000000
42145,194.50,58.538,0.000000
42145,194.50,58.633,0.000000
42145,194.50,58.728,0.000000
42145,194.50,58.822,0.000000
42145,194.50,58.916,0.000000
42145,194.50,59.011,0.000000
42145,194.50,59.106,0.057688
42145,194.50,59.200,0.299905
42154,197.60,40.300,0.000000
42154,197.60,40.379,0.000000
42154,197.60,40.458,0.000000
42154,197.60,40.537,0.000000
42154,197.60,40.616,0.000000
42154,197.60,40.695,0.000000
42154,197.60,40.774,0.000000
42154,197.60,40.853,0.000000
42154,197.60,40.932,0.000000
42154,197.60,41.011,0.000000
42154,197.60,41.090,0.000000
42154,197.60,41.169,0.000000
42154,197.60,41.248,0.000000
42154,197.60,41.327,0.000000
42154,197.60,41.406,0.000000
42154,197.60,41.485,0.000000
42154,197.60,41.564,0.000000
42154,197.60,41.643,0.000000
42154,197.60,41.722,0.000000
42154,197.60,41.801,0.000000
42154,197.60,41.880,0.000000
42154,197.60,41.959,0.000000
42154,197.60,42.038,0.000000
42154,197.60,42.117,0.000000
42154,197.60,42.196,0.000000
42154,197.60,42.275,0.000000
42154,197.60,42.354,0.000000
42154,197.60,42.433,0.000000
42154,197.60,42.512,0.000000
42154,197.60,42.591,0.000000
42154,197.60,42.670,0.000000
42154,197.60,42.749,0.000000
42154,197.60,42.828,0.000000
42154,197.60,42.907,0.000000
42154,197.60,42.986,0.000000
42154,197.60,43.065,0.000000
42154,197.60,43.144,0.000000
42154,197.60,43.223,0.000000
42154,197.60,43.302,0.000000
42154,197.60,43.381,0.000000
42154,197.60,43.460,0.000000
42154,197.60,43.539,0.000000
42154,197.60,43.618,0.000000
42154,197.60,43.697,0.000000
42154,197.60,43.776,0.000000
42154,197.60,43.855,0.000000
42154,197.60,43.934,0.000000
42154,197.60,44.013,0.000000
42154,197.60,44.092,0.000000
42154,197.60,44.171,0.000000
42154,197.60,44.250,0.000000
42154,197.60,44.329,0.000000
42154,197.60,44.408,0.000000
42154,197.60,44.487,0.000000
42154,197.60,44.566,0.000000
42154,197.60,44.645,0.000000
42154,197.60,44.724,0.000000
42154,197.60,44.803,0.000000
42154,197.60,44.882,0.000000
42154,197.60,44.961,0.000000
42154,197.60,45.040,0.000000
42154,197.60,45.119,0.000000
42154,197.60,45.198,0.000000
42154,197.60,45.277,0.000000
42154,197.60,45.356,0.000000
42154,197.60,45.435,0.000000
42154,197.60,45.514,0.000000
42154,197.60,45.593,0.000000
42154,197.60,45.672,0.000000
42154,197.60,45.751,0.000000
42154,197.60,45.830,0.000000
42154,197.60,45.909,0.000000
42154,197.60,45.988,0.000000
42154,197.60,46.067,0.000000
42154,197.60,46.146,0.000000
42154,197.60,46.225,0.000000
42154,197.60,46.304,0.000000
42154,197.60,46.383,0.000000
42154,197.60,46.462,0.000000
42154,197.60,46.541,0.000000
42154,197.60,46.620,0.000000
42154,197.60,46.699,0.000000
