# Joint Corridor Forecast Data (Algorithm 3.7)
# Mass Center Line: slope=-1440.498058, intercept=57.847
# Diagonal Center Line: slope=-1440.498058, intercept=57.847
# bt_ip,r_inv_center,r_inv_lower,r_inv_upper
0.001600,55.543,53.650,57.436
0.001642,55.482,53.648,57.316
0.001684,55.421,53.645,57.197
0.001727,55.360,53.643,57.077
0.001769,55.299,53.641,56.958
0.001811,55.239,53.639,56.838
0.001853,55.178,53.637,56.719
0.001895,55.117,53.635,56.599
0.001938,55.056,53.633,56.479
0.001980,54.995,53.631,56.360
0.002022,54.935,53.629,56.240
0.002064,54.874,53.622,56.125
0.002107,54.813,53.569,56.057
0.002149,54.752,53.516,55.989
0.002191,54.691,53.463,55.920
0.002233,54.631,53.409,55.852
0.002275,54.570,53.356,55.784
0.002318,54.509,53.303,55.715
0.002360,54.448,53.250,55.647
0.002402,54.387,53.196,55.579
0.002444,54.327,53.143,55.510
0.002486,54.266,53.090,55.442
0.002529,54.205,53.036,55.373
0.002571,54.144,52.983,55.305
0.002613,54.083,52.930,55.237
0.002655,54.023,52.877,55.168
0.002697,53.962,52.823,55.100
0.002740,53.901,52.770,55.032
0.002782,53.840,52.717,54.963
0.002824,53.779,52.664,54.895
0.002866,53.719,52.610,54.827
0.002909,53.658,52.557,54.758
0.002951,53.597,52.504,54.690
0.002993,53.536,52.450,54.622
0.003035,53.475,52.397,54.553
0.003077,53.415,52.344,54.485
0.003120,53.354,52.291,54.417
0.003162,53.293,52.237,54.348
0.003204,53.232,52.184,54.280
0.003246,53.171,52.131,54.212
0.003288,53.110,52.078,54.143
0.003331,53.050,52.024,54.075
0.003373,52.989,51.971,54.007
0.003415,52.928,51.918,53.938
0.003457,52.867,51.864,53.870
0.003499,52.806,51.811,53.802
0.003542,52.746,51.758,53.733
0.003584,52.685,51.705,53.665
0.003626,52.624,51.651,53.597
0.003668,52.563,51.578,53.548
0.003711,52.502,51.459,53.546
0.003753,52.442,51.339,53.544
0.003795,52.381,51.220,53.542
0.003837,52.320,51.100,53.540
0.003879,52.259,50.981,53.538
0.003922,52.198,50.861,53.536
0.003964,52.138,50.742,53.534
0.004006,52.077,50.622,53.532
0.004048,52.016,50.503,53.529
0.004090,51.955,50.383,53.527
0.004133,51.894,50.263,53.525
0.004175,51.834,50.144,53.523
0.004217,51.773,50.024,53.521
0.004259,51.712,49.905,53.519
0.004302,51.651,49.785,53.517
0.004344,51.590,49.666,53.515
0.004386,51.530,49.546,53.513
0.004428,51.469,49.427,53.511
0.004470,51.408,49.307,53.509
0.004513,51.347,49.188,53.507
0.004555,51.286,49.068,53.505
0.004597,51.226,48.949,53.503
0.004639,51.165,48.829,53.501
0.004681,51.104,48.709,53.498
0.004724,51.043,48.590,53.496
0.004766,50.982,48.470,53.494
0.004808,50.922,48.351,53.492
0.004850,50.861,48.231,53.490
0.004892,50.800,48.112,53.488
0.004935,50.739,47.992,53.486
0.004977,50.678,47.873,53.484
0.005019,50.617,47.753,53.482
0.005061,50.557,47.634,53.480
0.005104,50.496,47.514,53.478
0.005146,50.435,47.395,53.476
0.005188,50.374,47.275,53.474
