# Joint Corridor Forecast Data (Algorithm 3.7) - ext
# Mass Center Line: slope=-204.542731, intercept=51.388
# Diagonal Center Line: slope=-204.542731, intercept=51.388
# bt_ip,r_inv_center,r_inv_lower,r_inv_upper
0.001600,51.061,37.091,65.031
0.001642,51.052,37.545,64.559
0.001684,51.043,37.999,64.088
0.001727,51.035,38.453,63.617
0.001769,51.026,38.907,63.146
0.001811,51.018,39.361,62.674
0.001853,51.009,39.815,62.203
0.001895,51.000,40.269,61.732
0.001938,50.992,40.723,61.261
0.001980,50.983,41.177,60.790
0.002022,50.974,41.631,60.318
0.002064,50.966,42.046,59.885
0.002107,50.957,42.047,59.867
0.002149,50.948,42.048,59.849
0.002191,50.940,42.049,59.831
0.002233,50.931,42.050,59.813
0.002275,50.923,42.051,59.795
0.002318,50.914,42.052,59.776
0.002360,50.905,42.052,59.758
0.002402,50.897,42.053,59.740
0.002444,50.888,42.054,59.722
0.002486,50.879,42.055,59.704
0.002529,50.871,42.056,59.685
0.002571,50.862,42.057,59.667
0.002613,50.854,42.058,59.649
0.002655,50.845,42.059,59.631
0.002697,50.836,42.060,59.613
0.002740,50.828,42.061,59.595
0.002782,50.819,42.062,59.576
0.002824,50.810,42.063,59.558
0.002866,50.802,42.063,59.540
0.002909,50.793,42.064,59.522
0.002951,50.784,42.065,59.504
0.002993,50.776,42.066,59.485
0.003035,50.767,42.067,59.467
0.003077,50.759,42.068,59.449
0.003120,50.750,42.069,59.431
0.003162,50.741,42.070,59.413
0.003204,50.733,42.071,59.395
0.003246,50.724,42.072,59.376
0.003288,50.715,42.073,59.358
0.003331,50.707,42.073,59.340
0.003373,50.698,42.074,59.322
0.003415,50.689,42.075,59.304
0.003457,50.681,42.076,59.285
0.003499,50.672,42.077,59.267
0.003542,50.664,42.078,59.249
0.003584,50.655,42.079,59.231
0.003626,50.646,42.080,59.213
0.003668,50.638,41.940,59.335
0.003711,50.629,41.469,59.789
0.003753,50.620,40.998,60.243
0.003795,50.612,40.526,60.697
0.003837,50.603,40.055,61.151
0.003879,50.595,39.584,61.605
0.003922,50.586,39.113,62.059
0.003964,50.577,38.641,62.513
0.004006,50.569,38.170,62.967
0.004048,50.560,37.699,63.421
0.004090,50.551,37.228,63.875
0.004133,50.543,36.756,64.329
0.004175,50.534,36.285,64.783
0.004217,50.525,35.814,65.237
0.004259,50.517,35.343,65.691
0.004302,50.508,34.872,66.145
0.004344,50.500,34.400,66.599
0.004386,50.491,33.929,67.053
0.004428,50.482,33.458,67.507
0.004470,50.474,32.987,67.961
0.004513,50.465,32.515,68.415
0.004555,50.456,32.044,68.869
0.004597,50.448,31.573,69.323
0.004639,50.439,31.102,69.777
0.004681,50.430,30.630,70.231
0.004724,50.422,30.159,70.684
0.004766,50.413,29.688,71.138
0.004808,50.405,29.217,71.592
0.004850,50.396,28.745,72.046
0.004892,50.387,28.274,72.500
0.004935,50.379,27.803,72.954
0.004977,50.370,27.332,73.408
0.005019,50.361,26.861,73.862
0.005061,50.353,26.389,74.316
0.005104,50.344,25.918,74.770
0.005146,50.335,25.447,75.224
0.005188,50.327,24.976,75.678
0.005230,50.318,24.504,76.132
0.005272,50.310,24.033,76.586
0.005315,50.301,23.562,77.040
0.005357,50.292,23.091,77.494
0.005399,50.284,22.619,77.948
0.005441,50.275,22.148,78.402
0.005483,50.266,21.677,78.856
0.005526,50.258,21.206,79.310
0.005568,50.249,20.734,79.764
0.005610,50.241,20.263,80.218
0.005652,50.232,19.792,80.672
0.005694,50.223,19.321,81.126
0.005737,50.215,18.850,81.580
