# Temperature Profiles and Compatibility Corridors
# profile_type,shot_number,time,radius,temperature,temp_lower,temp_upper
before,42145,194.50,59.200,0.195000,,
before,42145,194.50,58.100,0.295500,,
before,42145,194.50,56.100,0.692400,,
before,42145,194.50,53.600,1.412000,,
before,42145,194.50,51.200,1.827000,,
before,42145,194.50,48.900,2.227000,,
before,42145,194.50,46.600,2.184000,,
before,42145,194.50,44.500,2.317000,,
before,42145,194.50,40.300,2.272000,,
after,42145,197.60,59.200,0.217200,,
after,42145,197.60,58.100,0.489200,,
after,42145,197.60,56.100,0.851800,,
after,42145,197.60,51.200,1.670000,,
after,42145,197.60,48.900,1.772000,,
after,42145,197.60,46.600,1.844000,,
after,42145,197.60,44.500,1.918000,,
after,42145,197.60,42.400,1.808000,,
after,42145,197.60,40.300,1.808000,,
corridor_before,42145,194.50,40.300,,2.044800,2.499200
corridor_before,42145,194.50,40.394,,2.048937,2.504256
corridor_before,42145,194.50,40.489,,2.053064,2.509300
corridor_before,42145,194.50,40.584,,2.057171,2.514320
corridor_before,42145,194.50,40.678,,2.061249,2.519304
corridor_before,42145,194.50,40.772,,2.065287,2.524240
corridor_before,42145,194.50,40.867,,2.069277,2.529116
corridor_before,42145,194.50,40.962,,2.073208,2.533921
corridor_before,42145,194.50,41.056,,2.077070,2.538641
corridor_before,42145,194.50,41.150,,2.080854,2.543266
corridor_before,42145,194.50,41.245,,2.084550,2.547783
corridor_before,42145,194.50,41.340,,2.088147,2.552180
corridor_before,42145,194.50,41.434,,2.091637,2.556445
corridor_before,42145,194.50,41.528,,2.095009,2.560567
corridor_before,42145,194.50,41.623,,2.098254,2.564532
corridor_before,42145,194.50,41.718,,2.101361,2.568330
corridor_before,42145,194.50,41.812,,2.104322,2.571949
corridor_before,42145,194.50,41.906,,2.107125,2.575375
corridor_before,42145,194.50,42.001,,2.109762,2.578598
corridor_before,42145,194.50,42.096,,2.112223,2.581605
corridor_before,42145,194.50,42.190,,2.114497,2.584385
corridor_before,42145,194.50,42.284,,2.116575,2.586925
corridor_before,42145,194.50,42.379,,2.118447,2.589214
corridor_before,42145,194.50,42.474,,2.120104,2.591238
corridor_before,42145,194.50,42.568,,2.121535,2.592988
corridor_before,42145,194.50,42.662,,2.122732,2.594450
corridor_before,42145,194.50,42.757,,2.123682,2.595612
corridor_before,42145,194.50,42.852,,2.124379,2.596463
corridor_before,42145,194.50,42.946,,2.124810,2.596990
corridor_before,42145,194.50,43.040,,2.124967,2.597182
corridor_before,42145,194.50,43.135,,2.124840,2.597026
corridor_before,42145,194.50,43.230,,2.124418,2.596511
corridor_before,42145,194.50,43.324,,2.123693,2.595625
corridor_before,42145,194.50,43.418,,2.122654,2.594355
corridor_before,42145,194.50,43.513,,2.121292,2.592690
corridor_before,42145,194.50,43.608,,2.119596,2.590618
corridor_before,42145,194.50,43.702,,2.117558,2.588126
corridor_before,42145,194.50,43.796,,2.115166,2.585203
corridor_before,42145,194.50,43.891,,2.112412,2.581836
corridor_before,42145,194.50,43.986,,2.109285,2.578015
corridor_before,42145,194.50,44.080,,2.105776,2.573726
corridor_before,42145,194.50,44.174,,2.101875,2.568958
corridor_before,42145,194.50,44.269,,2.097572,2.563699
corridor_before,42145,194.50,44.364,,2.092857,2.557936
corridor_before,42145,194.50,44.458,,2.087721,2.551659
corridor_before,42145,194.50,44.552,,2.082155,2.544856
corridor_before,42145,194.50,44.647,,2.076189,2.537564
corridor_before,42145,194.50,44.742,,2.069881,2.529855
corridor_before,42145,194.50,44.836,,2.063293,2.521803
corridor_before,42145,194.50,44.930,,2.056485,2.513482
corridor_before,42145,194.50,45.025,,2.049518,2.504967
corridor_before,42145,194.50,45.120,,2.042453,2.496331
corridor_before,42145,194.50,45.214,,2.035350,2.487650
corridor_before,42145,194.50,45.308,,2.028270,2.478997
corridor_before,42145,194.50,45.403,,2.021274,2.470446
corridor_before,42145,194.50,45.498,,2.014422,2.462071
corridor_before,42145,194.50,45.592,,2.007776,2.453948
corridor_before,42145,194.50,45.686,,2.001395,2.446150
corridor_before,42145,194.50,45.781,,1.995341,2.438751
corridor_before,42145,194.50,45.876,,1.989675,2.431825
corridor_before,42145,194.50,45.970,,1.984456,2.425447
